title,genres,Plot
Samhalinchha Kahile Mann,"Romance,  Social,  Adventure,  Family,","The eternal triangle relationship of three young hearts; Shreya (Pooja Sharma), Satish (Akash Shrestha), and Roman (Sonam Topden) grows from friendship when the boys fall in love with the same girl. Their relationship reveals the extraordinary spectrums of love and friendship."
Ma Ta Timrai Hoon,"Drama,  Romance,",
Hattichhap,"Comedy,  Drama,  Romance,  Action,",Hatti chap is Nepali movie directed by Simosh Sunuwar.
A Mero Hajur 3,"Drama,  Romance,",An romantic relationship between a celebrity and his fan.
Kanchhi,"Romantic,","Hira and Kanchhi, who have been friends since childhood, slowly come to the realization that they have fallen deeply in love with each other."
Senti Virus,"Comedy,  Drama,","Comedian duo Sita Ram Kattel and Kunjana Ghimire’s debut production, ‘Senti Virus’. Shot in locations like Rupakot and Pokhara, the movie will focus on social issues. According to the filmmakers, a total of 15 percent of the profit from the movie will be donated to Gautam Buddha International Cricket Stadium and five percent to the Artist Association."
Damaru Ko Dandibiyo,"Social,  Suspance,",Damaru comes back to his village to revive Dandibiyo but struggles to convince his father.
Chhadke 2.0,"Comedy,  Drama,  Action,","""Chhadke 2.0"" tells the story of a guy named Mendog, whose family gets killed by Gangsters of Manang while fetching YarsaGumba."
Prem Geet 3,"Drama,  Romance,  Action,","The film’s production team released some posters featuring Raut, where the actor is seen carrying an old-fashioned gun. In another poster, Raut is holding an axe.  The romantic series will release on April 10, at the brink of the Nepali new year."
The Karma,"Action,","नेपाल भारत सीमा क्षेत्रका नेपालीहरुको सत्य घटनामा आधारित रहेको यो चलचित्रले बदलाको कथा प्रस्तुत गर्नेछ । मानिसले आफ्नो समयमा गर्ने कामको प्रतिफल जनाउने यो चलचित्रमा मुम्बईका कलाकार दिपक आनन्दको प्रमूख अभिनय रहनेछ । बलीउड तथा दक्षीण भारतिय चलचित्रमा सक्रिय रुपमा काम गरिरहेका दिपकले ‘लभ सब प्यार व्यार’, ‘अञ्जान’, ‘ह्यांग टिल डेथ’ लगायतका टलीउड चलचित्र तथा मराठी चलचित्र र विज्ञापनहरुमा अभिनय गरेका छन् । यो चलचित्रमा दिपक भारतबाट नेपाल आई सीमा क्षेत्रमा बसोबास गरिरहेका युवकको भूमिकामा रहनेछन् ।"
Chot,"Other,",
Yo Mero Dil,"Drama,  Romance,  Action,",Yo mero Dil is neplai movie directed by Shankar Adhikari.
Desh Khojdai Jaada,"Drama,  Social,",Desh Khojdai Jaada is a Nepali Movie based on the Bhutanese refugees. Bhutanese refugee are the people of Nepali Origin settled over Bhutan for a Long time but after few Political change Bhutanese Government declared them as illegal immigrants and enforce them Bhutanese culture (language and clothes ) as compulsory to target such community and make them leave the country.
Kara,"Social,",
Red Monsoon,"Drama,  Family,",Inner city characters of the new Nepali generation struggle in a chaotic Kathmandu Valley society.
Kachuli,"Drama,",Kachuli is Nepalese drama movie directed by Shankar Adhikari.
Mustang Secrets Beyond The Himalayas,"Travel,","Mustang Secrets Beyond The Himalayas (Nepal before the devastating earthquake of 2015) Logline: A traveler sets on a journey into the remote mountains of Nepal, to explore Annapurna Region; and learns about the incredibly unique culture, festivals and spiritual traditions of the locals."
Deuta,"Drama,  Family,","The film starts with the marriage discussion of Srijana (Srijana Basnet), an amateur painter with her father (Tulsi ghimire). She hesitates to marry the only son of her father's business partner. Instead she want to learn some more painting and go to visit her paternal aunt in a remote village, where she meets Sonam (Shrawan Ghimire) and Shankar (Rajesh Hamal). A love triangle starts among the three and flows through the course of time."
Maya Preeti,"Other,",
Anyay,"Other,",
Tilahari,"Other,",
Bhumari,"Other,",
Cheli-Beti,"Other,",
Bijaya Parajaya,"Other,",
Lobhi-Papi,"Other,",
Trishna,"Other,",
Arunima,"Other,",
Adhikar,"Other,",
Aadhi-Beri,"Other,",
Kasam,"Other,",
Sapana,"Other,",
Gopikrishna,"Other,",
Sankalpa,"Other,",
Dui Thopa Aashu,"Other,",
Raanko,"Other,",
Swarga,"Other,",
Arpan,"Other,",
Baadal,"Other,",
Sauta,"Other,",
Aparadh,"Other,",
Karja,"Other,",
Prithvi,"Other,",
Cheli,"Other,",
Mohani,"Other,",
Jaya Baba Pashupatinath,"Other,",
Radha Krishna,"Other,",
Saubhagya,"Other,",
Bhisma Pratigya,"Other,",
Mitjyu,"Other,",
Daijo,"Other,",
Aaghat,"Other,",
Gothalo,"Other,",
Chori Buhari,"Other,",
Simana,"Other,",
Jalan,"Other,",
Anartha,"Other,",
Garib,"Other,",
Rahar,"Other,",
Laxmi Puja,"Other,",
Sakkali Nakkali,"Other,",
Pratikshya,"Other,",
Aama (1964),"Drama,  Action,","Aama (Mother) is the first Nepali Film produced in 2021 BS, directed by Hira Singh Khatri in his directorial debut, was written by Durga Shrestha and Chaitya Devi, and was produced by Mahendra of Nepal under the banner Information Department of Government of Nepal.
This film's plot follows a young man who returns home after serving in his country's army."
Kanya Dan,"Other,",
Kancha,"Other,",
Sait,"Other,",
Choro,"Other,",
Dautari,"Other,",
Nirmaya,"Other,",
Bandhan,"Other,",
Sun Chandi,"Other,",
Sima Rekha,"Other,",
Allare,"Other,",
Nirmohi,"Other,",
Karod Pati,"Other,",
Miteri Gau,"Other,",
Yo Mayale Launa Satayo,"Other,",
Avatar,"Other,",
Nepali Babu,"Other,",
Nata RagatKo,"Other,",
Jange,"Other,",
Aafanta,"Other,",
Surakshya,"Other,",
Hatiyar,"Other,",
Daiva Sanjog,"Other,",
The Commando,"Other,",
Ranabhumi,"Other,",
Aanshawanda,"Other,",
Maato Bolcha,"Other,",
Janmabhumi,"Other,",
Dharma Sankat,"Other,",
Gorkhali,"Other,",
Khandaan,"Other,",
Ta Ta Sarae Bigris Ni Badri,"Other,",
Sadyantra,"Other,",
Mohani Lagla Hai,"Other,",
Gajal,"Other,",
Malai Maf garideu,"Other,",
Sangam,"Other,",
Haude,"Other,",
Pardesi,"Other,",
Ghumto,"Other,",
Jiwan Sathi,"Other,",
Maili,"Other,",
Upakar,"Other,",
Aago,"Other,",
Jindagani,"Other,",
Dhuk-Dhuki,"Other,",
Nau Dada Pari,"Other,",
Kasto Saino,"Other,",
Asirvad,"Other,",
Bhagya Le Jurayo,"Other,",
Apsara,"Other,",
Khukuri,"Other,",
Gham Chaya,"Other,",
Chandal,"Other,",
Chahanchu Ma Timi Lai Nai,"Other,",
Chor,"Other,",
Jivandan,"Other,",
Dulaha Raja Dulahi Rani,"Other,",
Deurali,"Other,",
Doman,"Other,",
Dharti,"Other,",
Nepal Pyaro Cha,"Other,",
Pinjada,"Other,",
Badalpari,"Other,",
Bhagawan,"Other,",
Majdoor,"Other,",
Shapath,"Other,",
Mayako Saino,"Other,",
Yestai Huncha Pirati,"Other,",
Lagangatho,"Other,",
Var Peepal,"Other,",
Siudo Ko Sindur,"Other,",
Sukumbasi,"Other,",
Hero,"Other,",
Pardesi Kancha,"Other,",
Paketmaar,"Other,",
Arjun,"Other,",
Afno Manche,"Other,",
Atankabadi,"Other,",
Dasgaja,"Other,",
Ijjat,"Other,",
Kalapani,"Other,",
Chandani,"Other,",
Timi Nai Baseu Mero Manma,"Other,",
Desh Pardesh,"Other,",
Muna Madan,"Other,",
Man Mandir,"Other,",
Maato,"Other,",
Kranti,"Other,",
Triveni,"Other,",
Bhool Bhaye Maaf Gara,"Other,",
Pooja,"Other,",
Timi Binako Jivan,"Other,",
Aankha Lobhi Man Papi,"Other,",
Buhari,"Other,",
Santaan Thari Tharika,"Other,",
Guru Dakshina,"Other,",
Amar Priti,"Other,",
Berojgar,"Other,",
Hasideu Ek Phera,"Other,",
Bhagwan Sabaiko,"Other,",
Barsha Aakash Ganga,"Other,",
Ghamanda,"Other,",
Ekka Trial,"Other,",
The Flash Back ( Farkera Herda ),"Other,",
Dipsikha,"Other,",
Kasam Hajur Ko,"Other,",
Kanyadaan,"Other,",
Mission Paisa,"Other,",
Kohi Mero,"Other,",
Carreng Gang 2,"Other,",
Palpalma,"Other,",
Nepali Tarjan,"Other,",
Gangajal,"Other,",
Jungali Maya,"Other,",
Maryo Ni Mayale Maryo,"Other,",
Eutae Bhool,"Other,",
Tahalka Dot Com,"Other,",
